TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,MAG_R,MAG_P,MAG_Y,AUTO_GYRO_ROTATION_RATE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,CAM_STATUS
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.007812,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000183,
3114,02:53:56,690,F,APOGEE,3276.1,22.9,67.0,7.6,-1,1,0,-5,-6,4,0.5,-0.5,0.3,11.5,,0.0,0.0,0.0,0,CXON,0
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.001953,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000044,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=-0.005859,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000193,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=-0.001953,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000062,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000043,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
3114,02:53:57,691,F,APOGEE,3276.1,22.9,67.0,7.9,0,0,0,-5,-6,4,0.5,-0.5,0.3,11.5,,0.0,0.0,0.0,0,CXON,0
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000038,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=-0.003906,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000062,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=-0.001953,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000067,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=-0.001953,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000002,
3114,02:53:58,692,F,APOGEE,3276.1,22.9,67.0,7.6,0,0,0,-5,-5,4,0.5,-0.5,0.3,11.5,,0.0,0.0,0.0,0,CXON,0
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000001,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
3114,02:53:59,693,F,APOGEE,3276.1,22.9,67.0,8.1,0,0,0,-5,-5,4,0.5,-0.5,0.3,11.5,,0.0,0.0,0.0,0,CXON,0
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
3114,02:54:00,694,F,APOGEE,3276.1,22.9,67.0,7.9,0,0,0,-5,-5,4,0.5,-0.4,0.3,11.5,,0.0,0.0,0.0,0,CXON,0
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=-0.005859,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000162,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
3114,02:54:01,695,F,APOGEE,3276.1,22.9,67.0,8.0,0,0,0,-5,-5,4,0.5,-0.4,0.3,11.5,,0.0,0.0,0.0,0,CXON,0
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.003906,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000131,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.005859,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000121,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.001953,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000030,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=-0.003906,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000090,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
3114,02:54:02,696,F,APOGEE,3276.1,22.9,67.0,7.9,0,0,0,-5,-5,4,0.5,-0.4,0.3,11.5,,0.0,0.0,0.0,0,CXON,0
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=-0.001953,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000102,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=-0.001953,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000063,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000019,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.001953,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000051,
3114,02:54:03,697,F,APOGEE,3276.1,22.9,67.0,7.9,0,0,0,-5,-5,4,0.5,-0.4,0.3,11.5,,0.0,0.0,0.0,0,CXON,0
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000004,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000021,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
3114,02:54:04,698,F,APOGEE,3276.1,22.9,67.0,7.9,0,0,0,-5,-5,4,0.5,-0.5,0.3,11.5,,0.0,0.0,0.0,0,CXON,0
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_left=0.000005,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:servo_right=0.000000,
,,,,,,,,,,,,,,,,,,,,,,,,$I MSG:GyroZ=0.001953,
